appname,owner,technology
zathin,hildred-boehm,cobol
job,luther,java
namfix,bea,rust
ysolowarm,karin,dotnet
alphazap,karin,html
viva,echo_kerluke,javascript
fixflex,fermin_kihn,elixir
subin,dwight,dotnet
bitchip,nila_vonrueden,cobol
latlux,vernon,cobol
tempsoft,nila_vonrueden,javascript
otcom,hildred-boehm,rust
andalax,fermin_kihn,c
treeflex,sidney,html
hatity,kristyn_schmidt,ocaml
yfind,hildred-boehm,ocaml
bamity,luther,html
sonsing,elvina,ocaml
stronghold,tamera,javascript
cardguard,echo_kerluke,elixir
pannier,nila_vonrueden,pascal
fixsan,echo_kerluke,python
veribet,santo,java
stim,karin,elixir
solarbreeze,luther,c
it,tamera,ruby
trippledex,hildred-boehm,java
keylex,emmitt,ruby
daltfresh,sidney,pascal
bytecard,wally,ocaml
regrant,jenell_goyette,ocaml
konklux,orlando,ocaml
transcof,luther,javascript
cardify,karin,ruby
flowdesk,jenell_goyette,java
fintone,bea,ocaml
zoolab,magaret_waelchi,elixir
bitwolf,santo,html
subex,lizzie,java
wrapsafe,magaret_waelchi,javascript
sonair,karolyn-ortiz,elixir
zontrax,karolyn-ortiz,javascript
lotlux,dwight,java
cookley,arica-wuckert,elixir
konklab,tamera,html
opela,sidney,java
quolux,hildred-boehm,ocaml
zamit,hildred-boehm,cobol
ronstring,bea,python
kanlam,vernon,python
duobam,arica-wuckert,java
flexidy,arica-wuckert,ocaml
lotstring,emmitt,pascal
prodder,echo_kerluke,python
tampflex,tamera,javascript
bigtax,vernon,javascript
matsoft,magaret_waelchi,javascript
toughjoyfax,elvina,ruby
alpha,wally,python
redhold,sidney,dotnet
matlamtam,dwight,cobol
voyatouch,fermin_kihn,cobol
biodex,magaret_waelchi,pascal
vagram,nila_vonrueden,cobol
tin,nila_vonrueden,pascal
aerified,jenell_goyette,cobol
homeing,karolyn-ortiz,python
overhold,jenell_goyette,javascript
domainer,emmitt,ruby
gembucket,dwight,ocaml
voltsillam,bea,ocaml
ventosanzap,jenell_goyette,dotnet
stringtough,bea,html
holdlamis,santo,ocaml
asoka,hildred-boehm,rust
greenlam,karin,cobol
tresom,tamera,c
treszap,orlando,c
rank,emmitt,javascript
zaamdox,lizzie,python
temp,vernon,pascal
span,wally,python
